top_pct,top_n,freq,carry_window,median_sharpe,min_sharpe,n_positive,stability,cross_asset
0.25,3,2ME,9,0.991,0.991,1,0.8325,0.991
0.5,6,2ME,9,0.9851,0.9851,1,0.8842,0.9851
0.33,4,2ME,12,0.974,0.974,1,0.8765,0.974
0.1,1,2ME,9,0.9739,0.9739,1,0.5717,0.9739
0.33,4,2ME,9,0.9738,0.9738,1,0.8991,0.9738
1.0,13,ME,9,0.927,0.927,1,0.9265,0.927
0.25,3,2ME,12,0.9212,0.9212,1,0.9196,0.9212
0.15,2,2ME,9,0.8995,0.8995,1,0.907,0.8995
1.0,13,ME,12,0.8924,0.8924,1,0.9299,0.8924
0.5,6,ME,9,0.8818,0.8818,1,0.9553,0.8818
0.25,3,QE,12,0.881,0.881,1,,0.881
0.5,6,2ME,12,0.8808,0.8808,1,0.9874,0.8808
1.0,13,2ME,9,0.8575,0.8575,1,1.0278,0.8575
0.5,6,2ME,6,0.8521,0.8521,1,,0.8521
1.0,13,2ME,12,0.8512,0.8512,1,1.0167,0.8512
0.33,4,ME,9,0.8436,0.8436,1,0.907,0.8436
1.0,13,QE,12,0.8308,0.8308,1,,0.8308
0.5,6,QE,12,0.827,0.827,1,,0.827
1.0,13,2ME,6,0.8256,0.8256,1,,0.8256
0.33,4,QE,12,0.8215,0.8215,1,,0.8215
1.0,13,QE,9,0.8176,0.8176,1,,0.8176
0.15,2,2ME,12,0.8058,0.8058,1,0.8977,0.8058
1.0,13,ME,6,0.8039,0.8039,1,1.0158,0.8039
0.15,2,QE,12,0.7978,0.7978,1,,0.7978
0.1,1,2ME,6,0.787,0.787,1,,0.787
0.5,6,QE,9,0.78,0.78,1,,0.78
0.33,4,2ME,6,0.7791,0.7791,1,,0.7791
0.25,3,QE,9,0.7703,0.7703,1,,0.7703
1.0,13,ME,3,0.769,0.769,1,,0.769
0.15,2,ME,9,0.7487,0.7487,1,0.8258,0.7487
0.5,6,ME,6,0.7449,0.7449,1,0.9896,0.7449
0.25,3,ME,9,0.7395,0.7395,1,1.0142,0.7395
0.15,2,2ME,6,0.7194,0.7194,1,,0.7194
0.5,6,ME,12,0.7112,0.7112,1,1.1693,0.7112
0.33,4,QE,9,0.6807,0.6807,1,,0.6807
0.33,4,ME,12,0.6714,0.6714,1,1.1591,0.6714
0.15,2,QE,9,0.6563,0.6563,1,,0.6563
0.25,3,2ME,6,0.6458,0.6458,1,,0.6458
0.15,2,ME,12,0.5922,0.5922,1,1.1049,0.5922
0.5,6,ME,3,0.589,0.589,1,,0.589
0.1,1,ME,3,0.5845,0.5845,1,,0.5845
0.25,3,ME,12,0.5841,0.5841,1,1.2516,0.5841
0.25,3,ME,6,0.5826,0.5826,1,1.0257,0.5826
0.33,4,ME,6,0.5591,0.5591,1,1.2276,0.5591
0.25,3,ME,3,0.5331,0.5331,1,,0.5331
0.15,2,ME,6,0.5104,0.5104,1,1.167,0.5104
0.33,4,ME,3,0.4815,0.4815,1,,0.4815
0.1,1,ME,12,0.4787,0.4787,1,0.9387,0.4787
0.15,2,ME,3,0.465,0.465,1,,0.465
0.1,1,ME,6,0.4626,0.4626,1,1.206,0.4626
0.1,1,2ME,12,0.4062,0.4062,1,1.6188,0.4062
0.1,1,QE,12,0.3719,0.3719,1,,0.3719
0.1,1,ME,9,0.3496,0.3496,1,1.905,0.3496
0.1,1,QE,9,0.3417,0.3417,1,,0.3417
0.1,1,2ME,3,,,0,,
0.1,1,QE,3,,,0,,
0.1,1,QE,6,,,0,,
0.1,1,6ME,3,,,0,,
0.1,1,6ME,6,,,0,,
0.1,1,6ME,9,,,0,,
0.1,1,6ME,12,,,0,,
0.1,1,12ME,3,,,0,,
0.1,1,12ME,6,,,0,,
0.1,1,12ME,9,,,0,,
0.1,1,12ME,12,,,0,,
0.15,2,2ME,3,,,0,,
0.15,2,QE,3,,,0,,
0.15,2,QE,6,,,0,,
0.15,2,6ME,3,,,0,,
0.15,2,6ME,6,,,0,,
0.15,2,6ME,9,,,0,,
0.15,2,6ME,12,,,0,,
0.15,2,12ME,3,,,0,,
0.15,2,12ME,6,,,0,,
0.15,2,12ME,9,,,0,,
0.15,2,12ME,12,,,0,,
0.25,3,2ME,3,,,0,,
0.25,3,QE,3,,,0,,
0.25,3,QE,6,,,0,,
0.25,3,6ME,3,,,0,,
0.25,3,6ME,6,,,0,,
0.25,3,6ME,9,,,0,,
0.25,3,6ME,12,,,0,,
0.25,3,12ME,3,,,0,,
0.25,3,12ME,6,,,0,,
0.25,3,12ME,9,,,0,,
0.25,3,12ME,12,,,0,,
0.33,4,2ME,3,,,0,,
0.33,4,QE,3,,,0,,
0.33,4,QE,6,,,0,,
0.33,4,6ME,3,,,0,,
0.33,4,6ME,6,,,0,,
0.33,4,6ME,9,,,0,,
0.33,4,6ME,12,,,0,,
0.33,4,12ME,3,,,0,,
0.33,4,12ME,6,,,0,,
0.33,4,12ME,9,,,0,,
0.33,4,12ME,12,,,0,,
0.5,6,2ME,3,,,0,,
0.5,6,QE,3,,,0,,
0.5,6,QE,6,,,0,,
0.5,6,6ME,3,,,0,,
0.5,6,6ME,6,,,0,,
0.5,6,6ME,9,,,0,,
0.5,6,6ME,12,,,0,,
0.5,6,12ME,3,,,0,,
0.5,6,12ME,6,,,0,,
0.5,6,12ME,9,,,0,,
0.5,6,12ME,12,,,0,,
1.0,13,2ME,3,,,0,,
1.0,13,QE,3,,,0,,
1.0,13,QE,6,,,0,,
1.0,13,6ME,3,,,0,,
1.0,13,6ME,6,,,0,,
1.0,13,6ME,9,,,0,,
1.0,13,6ME,12,,,0,,
1.0,13,12ME,3,,,0,,
1.0,13,12ME,6,,,0,,
1.0,13,12ME,9,,,0,,
1.0,13,12ME,12,,,0,,
