top_pct,top_n,freq,mom_window,median_sharpe,min_sharpe,n_positive,neighbor_avg_sharpe,stability,us_sectors,us_factor,em_country,top_n_us_sectors,top_n_us_factor,top_n_em_country
0.25,3,6ME,12,1.1652,0.3979,3,0.8358,0.7173,1.3513,1.1652,0.3979,3,2,3
0.25,3,6ME,9,1.1652,0.3979,3,0.8988,0.7713,1.3513,1.1652,0.3979,3,2,3
0.25,3,6ME,6,1.1286,0.6395,3,0.8896,0.7882,1.6739,1.1286,0.6395,3,2,3
0.25,3,6ME,3,1.1286,0.6395,3,0.8311,0.7364,1.6739,1.1286,0.6395,3,2,3
0.33,4,6ME,3,1.1286,0.7301,3,0.9387,0.8317,1.3308,1.1286,0.7301,4,2,4
0.33,4,6ME,6,1.1286,0.7301,3,0.9608,0.8513,1.3308,1.1286,0.7301,4,2,4
1.0,11,6ME,3,1.1264,0.7734,3,1.0157,0.9017,1.311,1.1264,0.7734,11,7,11
1.0,11,6ME,6,1.1264,0.7734,3,1.0206,0.906,1.311,1.1264,0.7734,11,7,11
0.5,6,6ME,6,1.1251,0.7238,3,1.0064,0.8945,1.1251,1.1985,0.7238,6,4,6
0.5,6,6ME,3,1.1251,0.7238,3,0.9912,0.881,1.1251,1.1985,0.7238,6,4,6
0.33,4,6ME,9,1.0703,0.5274,3,0.961,0.8978,1.0703,1.1652,0.5274,4,2,4
0.33,4,6ME,12,1.0703,0.5274,3,0.9105,0.8507,1.0703,1.1652,0.5274,4,2,4
1.0,11,6ME,9,1.0584,0.6931,3,1.0018,0.9465,1.2467,1.0584,0.6931,11,7,11
1.0,11,6ME,12,1.0584,0.6931,3,0.9672,0.9139,1.2467,1.0584,0.6931,11,7,11
1.0,11,12ME,9,1.0565,0.5761,3,0.998,0.9447,1.063,1.0565,0.5761,11,7,11
1.0,11,12ME,12,1.0565,0.5761,3,0.9785,0.9262,1.063,1.0565,0.5761,11,7,11
1.0,11,12ME,3,1.0565,0.5761,3,1.0012,0.9477,1.063,1.0565,0.5761,11,7,11
1.0,11,12ME,6,1.0565,0.5761,3,1.015,0.9607,1.063,1.0565,0.5761,11,7,11
0.5,6,6ME,12,1.0515,0.6777,3,0.9296,0.8841,1.0515,1.2303,0.6777,6,4,6
0.5,6,6ME,9,1.0515,0.6777,3,0.9757,0.9279,1.0515,1.2303,0.6777,6,4,6
0.1,1,QE,3,0.9194,0.7853,3,0.7298,0.7938,0.9586,0.7853,0.9194,1,1,1
0.1,1,6ME,12,0.844,0.1335,3,0.6613,0.7835,0.9076,0.844,0.1335,1,1,1
0.1,1,6ME,9,0.844,0.1335,3,0.6699,0.7937,0.9076,0.844,0.1335,1,1,1
0.15,2,6ME,9,0.844,0.4128,3,0.7696,0.9118,0.9527,0.844,0.4128,2,1,2
0.15,2,6ME,12,0.844,0.4128,3,0.7826,0.9273,0.9527,0.844,0.4128,2,1,2
0.15,2,2ME,12,0.8366,0.3106,3,0.7527,0.8997,0.9756,0.8366,0.3106,2,1,2
0.1,1,2ME,12,0.8366,0.3033,3,0.7514,0.8981,1.0664,0.8366,0.3033,1,1,1
0.5,6,12ME,3,0.8207,0.4933,3,0.8959,1.0917,0.8207,0.8803,0.4933,6,4,6
0.5,6,12ME,12,0.8207,0.4933,3,0.8775,1.0692,0.8207,0.8803,0.4933,6,4,6
0.5,6,12ME,9,0.8207,0.4933,3,0.8662,1.0554,0.8207,0.8803,0.4933,6,4,6
0.5,6,12ME,6,0.8207,0.4933,3,0.8809,1.0733,0.8207,0.8803,0.4933,6,4,6
0.25,3,2ME,9,0.8112,0.6178,3,0.7503,0.9249,0.8195,0.8112,0.6178,3,2,3
0.33,4,2ME,9,0.8112,0.6039,3,0.7618,0.9392,0.8245,0.8112,0.6039,4,2,4
0.5,6,2ME,9,0.8035,0.6443,3,0.7394,0.9202,0.8035,0.8162,0.6443,6,4,6
0.15,2,ME,6,0.7959,0.4755,3,0.7162,0.8999,0.8794,0.7959,0.4755,2,1,2
0.1,1,ME,6,0.7959,0.463,3,0.6621,0.8319,0.806,0.7959,0.463,1,1,1
0.5,6,QE,6,0.786,0.6183,3,0.8003,1.0182,0.9001,0.786,0.6183,6,4,6
0.15,2,QE,3,0.7853,0.7044,3,0.7489,0.9536,1.0458,0.7853,0.7044,2,1,2
0.25,3,QE,9,0.7691,0.5619,3,0.8012,1.0418,0.7691,0.7954,0.5619,3,2,3
0.33,4,QE,9,0.7688,0.589,3,0.799,1.0392,0.7688,0.7954,0.589,4,2,4
0.15,2,6ME,6,0.7688,0.5993,3,0.7521,0.9783,1.7535,0.7688,0.5993,2,1,2
0.15,2,6ME,3,0.7688,0.5993,3,0.7599,0.9884,1.7535,0.7688,0.5993,2,1,2
0.1,1,6ME,6,0.7688,0.1395,3,0.6563,0.8536,1.2716,0.7688,0.1395,1,1,1
0.1,1,6ME,3,0.7688,0.1395,3,0.6756,0.8788,1.2716,0.7688,0.1395,1,1,1
0.15,2,ME,9,0.7602,0.3039,3,0.739,0.9721,0.8149,0.7602,0.3039,2,1,2
0.1,1,ME,9,0.7602,0.276,3,0.7533,0.991,0.7747,0.7602,0.276,1,1,1
0.25,3,2ME,12,0.7581,0.3616,3,0.751,0.9906,0.9021,0.7581,0.3616,3,2,3
0.33,4,2ME,12,0.7581,0.5136,3,0.7231,0.9538,0.8273,0.7581,0.5136,4,2,4
0.5,6,QE,3,0.755,0.6733,3,0.8272,1.0956,0.8094,0.755,0.6733,6,4,6
1.0,11,QE,3,0.7547,0.5916,3,0.8404,1.1135,0.7919,0.7547,0.5916,11,7,11
1.0,11,2ME,6,0.7518,0.5961,3,0.7334,0.9756,0.7819,0.7518,0.5961,11,7,11
0.33,4,2ME,6,0.748,0.5685,3,0.7392,0.9883,0.793,0.748,0.5685,4,2,4
0.25,3,2ME,6,0.748,0.4503,3,0.7381,0.9867,0.774,0.748,0.4503,3,2,3
1.0,11,2ME,9,0.7461,0.6293,3,0.7396,0.9913,0.7783,0.7461,0.6293,11,7,11
1.0,11,2ME,3,0.7437,0.6055,3,0.7442,1.0006,0.7506,0.7437,0.6055,11,7,11
0.5,6,2ME,3,0.7403,0.556,3,0.7279,0.9833,0.9023,0.7403,0.556,6,4,6
1.0,11,QE,6,0.7364,0.5971,3,0.827,1.123,0.7742,0.7364,0.5971,11,7,11
0.15,2,2ME,9,0.7337,0.4369,3,0.7513,1.024,0.923,0.7337,0.4369,2,1,2
0.1,1,2ME,9,0.7337,0.5594,3,0.7394,1.0077,1.0892,0.7337,0.5594,1,1,1
0.33,4,QE,6,0.7308,0.6978,3,0.8153,1.1157,0.7469,0.7308,0.6978,4,2,4
0.25,3,QE,6,0.7308,0.601,3,0.7909,1.0822,0.8674,0.7308,0.601,3,2,3
0.25,3,2ME,3,0.7301,0.6277,3,0.7162,0.981,0.8237,0.7301,0.6277,3,2,3
0.33,4,2ME,3,0.7301,0.6489,3,0.726,0.9944,0.7401,0.7301,0.6489,4,2,4
1.0,11,ME,3,0.7299,0.5987,3,0.7145,0.9789,0.7299,0.7337,0.5987,11,7,11
0.33,4,QE,3,0.7298,0.6641,3,0.8118,1.1123,0.8421,0.6641,0.7298,4,2,4
0.5,6,QE,9,0.7284,0.5899,3,0.7955,1.0921,0.7545,0.7284,0.5899,6,4,6
0.5,6,ME,9,0.7274,0.4983,3,0.7219,0.9925,0.867,0.7274,0.4983,6,4,6
0.5,6,ME,12,0.7274,0.3954,3,0.6924,0.9519,0.7489,0.7274,0.3954,6,4,6
0.5,6,2ME,6,0.726,0.5635,3,0.7519,1.0356,0.8455,0.726,0.5635,6,4,6
0.1,1,ME,12,0.7235,0.5103,3,0.7734,1.069,1.051,0.7235,0.5103,1,1,1
0.15,2,ME,12,0.7235,0.4413,3,0.7463,1.0315,0.8935,0.7235,0.4413,2,1,2
0.1,1,2ME,6,0.719,0.2091,3,0.7227,1.0052,1.1141,0.719,0.2091,1,1,1
0.15,2,2ME,6,0.719,0.2798,3,0.7231,1.0057,0.7687,0.719,0.2798,2,1,2
1.0,11,QE,9,0.716,0.557,3,0.7944,1.1094,0.7539,0.716,0.557,11,7,11
1.0,11,ME,9,0.7157,0.6026,3,0.7171,1.002,0.7363,0.7157,0.6026,11,7,11
1.0,11,ME,6,0.715,0.5733,3,0.7198,1.0066,0.7154,0.715,0.5733,11,7,11
0.25,3,QE,3,0.7143,0.6641,3,0.8209,1.1493,0.869,0.6641,0.7143,3,2,3
0.1,1,QE,12,0.7117,0.453,3,0.7599,1.0677,1.2853,0.7117,0.453,1,1,1
0.15,2,QE,12,0.7117,0.5129,3,0.7447,1.0464,1.0296,0.7117,0.5129,2,1,2
1.0,11,2ME,12,0.7109,0.5631,3,0.7065,0.9937,0.7438,0.7109,0.5631,11,7,11
0.1,1,2ME,3,0.7106,0.6876,3,0.6748,0.9497,0.7106,0.6876,0.7126,1,1,1
1.0,11,QE,12,0.7025,0.541,3,0.7832,1.1148,0.7489,0.7025,0.541,11,7,11
0.25,3,ME,3,0.7012,0.2827,3,0.6795,0.969,0.7012,0.7194,0.2827,3,2,3
0.5,6,2ME,12,0.6972,0.4747,3,0.7294,1.0462,0.7075,0.6972,0.4747,6,4,6
0.25,3,ME,6,0.6893,0.3572,3,0.7232,1.0492,0.8236,0.6893,0.3572,3,2,3
0.33,4,ME,6,0.6893,0.4238,3,0.6965,1.0104,0.8534,0.6893,0.4238,4,2,4
0.15,2,2ME,3,0.6876,0.6499,3,0.7123,1.036,0.8915,0.6876,0.6499,2,1,2
0.5,6,ME,3,0.6849,0.4679,3,0.7084,1.0343,0.7729,0.6849,0.4679,6,4,6
0.25,3,QE,12,0.684,0.4402,3,0.8176,1.1954,0.9049,0.684,0.4402,3,2,3
0.33,4,QE,12,0.684,0.5038,3,0.7857,1.1487,0.841,0.684,0.5038,4,2,4
0.33,4,ME,3,0.6819,0.3908,3,0.7014,1.0286,0.6819,0.7194,0.3908,4,2,4
0.5,6,ME,6,0.6816,0.4774,3,0.7085,1.0395,0.8255,0.6816,0.4774,6,4,6
0.33,4,ME,9,0.6815,0.4464,3,0.7149,1.049,0.7584,0.6815,0.4464,4,2,4
0.25,3,ME,9,0.6815,0.3838,3,0.7214,1.0586,0.8296,0.6815,0.3838,3,2,3
1.0,11,ME,12,0.68,0.5559,3,0.718,1.0559,0.6962,0.68,0.5559,11,7,11
0.33,4,ME,12,0.665,0.3701,3,0.708,1.0647,0.8362,0.665,0.3701,4,2,4
0.25,3,ME,12,0.665,0.3585,3,0.707,1.0632,0.8644,0.665,0.3585,3,2,3
0.15,2,QE,6,0.6544,0.4888,3,0.7176,1.0966,0.7995,0.6544,0.4888,2,1,2
0.1,1,QE,6,0.6544,0.529,3,0.7418,1.1335,0.8625,0.6544,0.529,1,1,1
0.1,1,QE,9,0.6473,0.4926,3,0.7182,1.1096,1.1081,0.6473,0.4926,1,1,1
0.15,2,QE,9,0.6473,0.5588,3,0.7267,1.1227,0.9842,0.6473,0.5588,2,1,2
0.5,6,QE,12,0.6473,0.4896,3,0.7727,1.1938,0.7129,0.6473,0.4896,6,4,6
0.15,2,ME,3,0.6166,0.2357,3,0.6395,1.0371,0.6166,0.7162,0.2357,2,1,2
0.33,4,12ME,3,0.5814,0.4779,3,0.7365,1.2668,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,9,0.5814,0.4779,3,0.6938,1.1934,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,6,0.5814,0.4779,3,0.7055,1.2134,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,12,0.5814,0.4779,3,0.7219,1.2417,0.5814,0.647,0.4779,4,2,4
0.25,3,12ME,3,0.4153,0.4048,3,0.6183,1.4889,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,9,0.4153,0.4048,3,0.5851,1.4088,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,6,0.4153,0.4048,3,0.5777,1.3911,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,12,0.4153,0.4048,3,0.6275,1.511,0.4048,0.647,0.4153,3,2,3
0.1,1,ME,3,0.3733,0.0572,3,0.7077,1.8958,0.3733,0.7162,0.0572,1,1,1
0.15,2,12ME,3,0.3481,0.2356,3,0.4444,1.2766,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,6,0.3481,0.2356,3,0.4251,1.2213,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,9,0.3481,0.2356,3,0.4402,1.2645,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,12,0.3481,0.2356,3,0.4632,1.3307,0.2356,0.3481,0.3707,2,1,2
0.1,1,12ME,12,0.2454,0.0826,3,0.4792,1.9526,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,9,0.2454,0.0826,3,0.4207,1.7144,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,6,0.2454,0.0826,3,0.4019,1.6378,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,3,0.2454,0.0826,3,0.4541,1.8504,0.2454,0.3481,0.0826,1,1,1
