date,instrument,score
2016-08-31,XLB,0.261665
2016-08-31,XLE,0.164948
2016-08-31,XLF,0.094947
2016-08-31,XLI,0.167541
2016-08-31,XLK,0.131963
2016-08-31,XLP,0.083912
2016-08-31,XLU,0.15678
2016-08-31,XLV,0.135822
2016-08-31,XLY,0.105579
2016-09-30,XLB,0.167251
2016-09-30,XLE,0.218452
2016-09-30,XLF,0.170955
2016-09-30,XLI,0.130286
2016-09-30,XLK,0.152967
2016-09-30,XLP,0.074416
2016-09-30,XLU,0.071853
2016-09-30,XLV,0.103141
2016-09-30,XLY,0.085996
2016-10-31,XLB,0.076378
2016-10-31,XLE,0.156083
2016-10-31,XLF,-0.133441
2016-10-31,XLI,0.064003
2016-10-31,XLK,0.086978
2016-10-31,XLP,0.015021
2016-10-31,XLU,0.003878
2016-10-31,XLV,0.072176
2016-10-31,XLY,0.019387
2016-11-30,XLB,0.002596
2016-11-30,XLE,0.028444
2016-11-30,XLF,-0.144778
2016-11-30,XLI,0.029275
2016-11-30,XLK,0.136051
2016-11-30,XLP,0.021989
2016-11-30,XLU,0.038047
2016-11-30,XLV,-0.02726
2016-11-30,XLY,-0.006455
2016-12-31,XLB,0.074479
2016-12-31,XLE,0.126963
2016-12-31,XLF,-0.043147
2016-12-31,XLI,0.128036
2016-12-31,XLK,0.084763
2016-12-31,XLP,-0.027792
2016-12-31,XLU,-0.032998
2016-12-31,XLV,-0.028817
2016-12-31,XLY,0.040673
2017-01-31,XLB,0.085039
2017-01-31,XLE,0.116645
2017-01-31,XLF,0.027282
2017-01-31,XLI,0.123969
2017-01-31,XLK,0.124872
2017-01-31,XLP,-0.049458
2017-01-31,XLU,-0.057173
2017-01-31,XLV,-0.030532
2017-01-31,XLY,0.053065
2017-02-28,XLB,0.07996
2017-02-28,XLE,0.093805
2017-02-28,XLF,-0.005071
2017-02-28,XLI,0.104715
2017-02-28,XLK,0.087434
2017-02-28,XLP,-0.02541
2017-02-28,XLU,-0.039246
2017-02-28,XLV,-0.054469
2017-02-28,XLY,0.049376
2017-03-31,XLB,0.088677
2017-03-31,XLE,0.05396
2017-03-31,XLF,0.008789
2017-03-31,XLI,0.137108
2017-03-31,XLK,0.123229
2017-03-31,XLP,0.026988
2017-03-31,XLU,0.070914
2017-03-31,XLV,0.039146
2017-03-31,XLY,0.082761
2017-04-30,XLB,0.107957
2017-04-30,XLE,0.000419
2017-04-30,XLF,0.239951
2017-04-30,XLI,0.126363
2017-04-30,XLK,0.124884
2017-04-30,XLP,0.038816
2017-04-30,XLU,0.065673
2017-04-30,XLV,0.039512
2017-04-30,XLY,0.1086
2017-05-31,XLB,0.147592
2017-05-31,XLE,0.000864
2017-05-31,XLF,0.202539
2017-05-31,XLI,0.172712
2017-05-31,XLK,0.156104
2017-05-31,XLP,0.058191
2017-05-31,XLU,0.063457
2017-05-31,XLV,0.129852
2017-05-31,XLY,0.163559
2017-06-30,XLB,0.073194
2017-06-30,XLE,-0.110669
2017-06-30,XLF,0.04191
2017-06-30,XLI,0.093673
2017-06-30,XLK,0.199535
2017-06-30,XLP,0.133997
2017-06-30,XLU,0.171776
2017-06-30,XLV,0.11545
2017-06-30,XLY,0.122372
2017-07-31,XLB,0.090953
2017-07-31,XLE,-0.127543
2017-07-31,XLF,0.068437
2017-07-31,XLI,0.104837
2017-07-31,XLK,0.141492
2017-07-31,XLP,0.076065
2017-07-31,XLU,0.086549
2017-07-31,XLV,0.158144
2017-07-31,XLY,0.107788
2017-08-31,XLB,0.059695
2017-08-31,XLE,-0.073625
2017-08-31,XLF,0.083588
2017-08-31,XLI,0.087768
2017-08-31,XLK,0.150703
2017-08-31,XLP,0.065302
2017-08-31,XLU,0.099673
2017-08-31,XLV,0.141864
2017-08-31,XLY,0.083506
2017-09-30,XLB,0.062126
2017-09-30,XLE,-0.106524
2017-09-30,XLF,0.012585
2017-09-30,XLI,0.049084
2017-09-30,XLK,0.132829
2017-09-30,XLP,0.005814
2017-09-30,XLU,0.078634
2017-09-30,XLV,0.092466
2017-09-30,XLY,0.044439
2017-10-31,XLB,0.094694
2017-10-31,XLE,-0.000838
2017-10-31,XLF,0.097756
2017-10-31,XLI,0.101434
2017-10-31,XLK,0.117188
2017-10-31,XLP,0.002802
2017-10-31,XLU,0.050233
2017-10-31,XLV,0.107618
2017-10-31,XLY,0.03083
2017-11-30,XLB,0.121841
2017-11-30,XLE,0.021157
2017-11-30,XLF,0.137758
2017-11-30,XLI,0.088225
2017-11-30,XLK,0.166465
2017-11-30,XLP,-0.02403
2017-11-30,XLU,0.083848
2017-11-30,XLV,0.082576
2017-11-30,XLY,0.027919
2017-12-31,XLB,0.133695
2017-12-31,XLE,0.076992
2017-12-31,XLF,0.192974
2017-12-31,XLI,0.113797
2017-12-31,XLK,0.138038
2017-12-31,XLP,0.003601
2017-12-31,XLU,0.067621
2017-12-31,XLV,0.105641
2017-12-31,XLY,0.068444
2018-01-31,XLB,0.136585
2018-01-31,XLE,0.135426
2018-01-31,XLF,0.141491
2018-01-31,XLI,0.121295
2018-01-31,XLK,0.176166
2018-01-31,XLP,0.049965
2018-01-31,XLU,0.030441
2018-01-31,XLV,0.051462
2018-01-31,XLY,0.108733
2018-02-28,XLB,0.164192
2018-02-28,XLE,0.145852
2018-02-28,XLF,0.196143
2018-02-28,XLI,0.179208
2018-02-28,XLK,0.206186
2018-02-28,XLP,0.060156
2018-02-28,XLU,-0.024765
2018-02-28,XLV,0.110902
2018-02-28,XLY,0.188261
2018-03-31,XLB,0.094021
2018-03-31,XLE,0.080869
2018-03-31,XLF,0.180688
2018-03-31,XLI,0.131039
2018-03-31,XLK,0.167347
2018-03-31,XLP,-0.010173
2018-03-31,XLU,-0.092086
2018-03-31,XLV,0.04289
2018-03-31,XLY,0.168733
2018-04-30,XLB,0.011283
2018-04-30,XLE,-0.001678
2018-04-30,XLF,0.076329
2018-04-30,XLI,0.056297
2018-04-30,XLK,0.114464
2018-04-30,XLP,-0.011877
2018-04-30,XLU,-0.031558
2018-04-30,XLV,0.003531
2018-04-30,XLY,0.131693
2018-05-31,XLB,-0.02494
2018-05-31,XLE,0.101903
2018-05-31,XLF,0.041538
2018-05-31,XLI,0.019218
2018-05-31,XLK,0.046994
2018-05-31,XLP,-0.037405
2018-05-31,XLU,-0.048885
2018-05-31,XLV,0.022058
2018-05-31,XLY,0.134624
2018-06-30,XLB,-0.014741
2018-06-30,XLE,0.115129
2018-06-30,XLF,-0.003841
2018-06-30,XLI,0.008217
2018-06-30,XLK,0.102555
2018-06-30,XLP,-0.102489
2018-06-30,XLU,-0.08368
2018-06-30,XLV,-0.005393
2018-06-30,XLY,0.101146
2018-07-31,XLB,-0.032384
2018-07-31,XLE,0.065956
2018-07-31,XLF,-0.041039
2018-07-31,XLI,-0.044819
2018-07-31,XLK,0.093528
2018-07-31,XLP,-0.082237
2018-07-31,XLU,0.003447
2018-07-31,XLV,0.016824
2018-07-31,XLY,0.113646
2018-08-31,XLB,-0.043886
2018-08-31,XLE,0.043445
2018-08-31,XLF,-0.0523
2018-08-31,XLI,-0.027946
2018-08-31,XLK,0.042735
2018-08-31,XLP,-0.061273
2018-08-31,XLU,0.051803
2018-08-31,XLV,0.016704
2018-08-31,XLY,0.037349
2018-09-30,XLB,0.002376
2018-09-30,XLE,0.131253
2018-09-30,XLF,-0.010931
2018-09-30,XLI,0.013939
2018-09-30,XLK,0.116338
2018-09-30,XLP,0.02079
2018-09-30,XLU,0.108822
2018-09-30,XLV,0.110671
2018-09-30,XLY,0.130019
2018-10-31,XLB,0.027273
2018-10-31,XLE,0.139076
2018-10-31,XLF,0.008442
2018-10-31,XLI,0.064541
2018-10-31,XLK,0.159511
2018-10-31,XLP,0.039359
2018-10-31,XLU,0.0611
2018-10-31,XLV,0.177596
2018-10-31,XLY,0.163896
2018-11-30,XLB,-0.068894
2018-11-30,XLE,-0.078281
2018-11-30,XLF,-0.03479
2018-11-30,XLI,-0.023768
2018-11-30,XLK,0.066007
2018-11-30,XLP,0.106739
2018-11-30,XLU,0.060379
2018-11-30,XLV,0.086188
2018-11-30,XLY,0.021857
2018-12-31,XLB,-0.052568
2018-12-31,XLE,-0.118151
2018-12-31,XLF,0.000857
2018-12-31,XLI,-0.016454
2018-12-31,XLK,-0.021323
2018-12-31,XLP,0.149925
2018-12-31,XLU,0.10999
2018-12-31,XLV,0.172251
2018-12-31,XLY,0.026944
2019-01-31,XLB,-0.120161
2019-01-31,XLE,-0.232679
2019-01-31,XLF,-0.09345
2019-01-31,XLI,-0.09114
2019-01-31,XLK,-0.101023
2019-01-31,XLP,0.001673
2019-01-31,XLU,0.03631
2019-01-31,XLV,0.045125
2019-01-31,XLY,-0.087864
2019-02-28,XLB,-0.096116
2019-02-28,XLE,-0.15851
2019-02-28,XLF,-0.061826
2019-02-28,XLI,-0.056461
2019-02-28,XLK,-0.057984
2019-02-28,XLP,0.012871
2019-02-28,XLU,0.055529
2019-02-28,XLV,0.028238
2019-02-28,XLY,-0.015292
2019-03-31,XLB,-0.060846
2019-03-31,XLE,-0.109221
2019-03-31,XLF,-0.054032
2019-03-31,XLI,0.001035
2019-03-31,XLK,-0.055524
2019-03-31,XLP,0.026316
2019-03-31,XLU,0.083849
2019-03-31,XLV,-0.003937
2019-03-31,XLY,-0.051178
2019-04-30,XLB,-0.031778
2019-04-30,XLE,-0.112136
2019-04-30,XLF,-0.057346
2019-04-30,XLI,-0.031399
2019-04-30,XLK,-0.010253
2019-04-30,XLP,0.056009
2019-04-30,XLU,0.122361
2019-04-30,XLV,-0.027725
2019-04-30,XLY,-0.021608
2019-05-31,XLB,0.104121
2019-05-31,XLE,0.002082
2019-05-31,XLF,0.078681
2019-05-31,XLI,0.129687
2019-05-31,XLK,0.144582
2019-05-31,XLP,0.064444
2019-05-31,XLU,0.111059
2019-05-31,XLV,0.014742
2019-05-31,XLY,0.147688
2019-06-30,XLB,-0.023474
2019-06-30,XLE,-0.095943
2019-06-30,XLF,-0.024401
2019-06-30,XLI,0.005003
2019-06-30,XLK,0.065993
2019-06-30,XLP,0.002825
2019-06-30,XLU,0.064545
2019-06-30,XLV,-0.082068
2019-06-30,XLY,0.034784
2019-07-31,XLB,0.170027
2019-07-31,XLE,0.129889
2019-07-31,XLF,0.17052
2019-07-31,XLI,0.212986
2019-07-31,XLK,0.269218
2019-07-31,XLP,0.158397
2019-07-31,XLU,0.144413
2019-07-31,XLV,0.077456
2019-07-31,XLY,0.212311
2019-08-31,XLB,0.105035
2019-08-31,XLE,0.0
2019-08-31,XLF,0.099956
2019-08-31,XLI,0.092979
2019-08-31,XLK,0.226233
2019-08-31,XLP,0.128205
2019-08-31,XLU,0.103843
2019-08-31,XLV,0.013232
2019-08-31,XLY,0.117358
2019-09-30,XLB,0.040808
2019-09-30,XLE,-0.103946
2019-09-30,XLF,0.02553
2019-09-30,XLI,0.00251
2019-09-30,XLK,0.129937
2019-09-30,XLP,0.132219
2019-09-30,XLU,0.114725
2019-09-30,XLV,-0.003458
2019-09-30,XLY,0.092549
2019-10-31,XLB,0.060241
2019-10-31,XLE,-0.088076
2019-10-31,XLF,0.100799
2019-10-31,XLI,0.044667
2019-10-31,XLK,0.09554
2019-10-31,XLP,0.109513
2019-10-31,XLU,0.130398
2019-10-31,XLV,-0.009341
2019-10-31,XLY,0.067191
2019-11-30,XLB,0.024077
2019-11-30,XLE,-0.107187
2019-11-30,XLF,0.035045
2019-11-30,XLI,0.016236
2019-11-30,XLK,0.070057
2019-11-30,XLP,0.074113
2019-11-30,XLU,0.111393
2019-11-30,XLV,0.070364
2019-11-30,XLY,0.013312
2019-12-31,XLB,0.150787
2019-12-31,XLE,0.02057
2019-12-31,XLF,0.17025
2019-12-31,XLI,0.149813
2019-12-31,XLK,0.234005
2019-12-31,XLP,0.130228
2019-12-31,XLU,0.099488
2019-12-31,XLV,0.149483
2019-12-31,XLY,0.111218
2020-01-31,XLB,0.060713
2020-01-31,XLE,-0.010684
2020-01-31,XLF,0.126749
2020-01-31,XLI,0.064204
2020-01-31,XLK,0.18088
2020-01-31,XLP,0.099876
2020-01-31,XLU,0.100538
2020-01-31,XLV,0.117911
2020-01-31,XLY,0.059148
2020-02-29,XLB,-0.001964
2020-02-29,XLE,-0.105903
2020-02-29,XLF,0.07117
2020-02-29,XLI,0.05518
2020-02-29,XLK,0.188436
2020-02-29,XLP,0.077635
2020-02-29,XLU,0.176544
2020-02-29,XLV,0.103979
2020-02-29,XLY,0.045039
2020-03-31,XLB,-0.060226
2020-03-31,XLE,-0.173769
2020-03-31,XLF,-0.000422
2020-03-31,XLI,-0.025482
2020-03-31,XLK,0.118196
2020-03-31,XLP,-0.031508
2020-03-31,XLU,0.009069
2020-03-31,XLV,0.035444
2020-03-31,XLY,-0.02504
2020-04-30,XLB,-0.216693
2020-04-30,XLE,-0.47836
2020-04-30,XLF,-0.24647
2020-04-30,XLI,-0.230802
2020-04-30,XLK,0.006567
2020-04-30,XLP,-0.100832
2020-04-30,XLU,-0.128593
2020-04-30,XLV,-0.001985
2020-04-30,XLY,-0.180638
2020-05-31,XLB,-0.097571
2020-05-31,XLE,-0.302932
2020-05-31,XLF,-0.195276
2020-05-31,XLI,-0.17178
2020-05-31,XLK,0.101618
2020-05-31,XLP,-0.034208
2020-05-31,XLU,-0.092607
2020-05-31,XLV,0.069043
2020-05-31,XLY,-0.02715
2020-06-30,XLB,-0.065325
2020-06-30,XLE,-0.300046
2020-06-30,XLF,-0.212598
2020-06-30,XLI,-0.16466
2020-06-30,XLK,0.121219
2020-06-30,XLP,-0.031442
2020-06-30,XLU,-0.036117
2020-06-30,XLV,0.051478
2020-06-30,XLY,0.022818
2020-07-31,XLB,-0.07127
2020-07-31,XLE,-0.347732
2020-07-31,XLF,-0.236669
2020-07-31,XLI,-0.146421
2020-07-31,XLK,0.149034
2020-07-31,XLP,-0.056169
2020-07-31,XLU,-0.110526
2020-07-31,XLV,-0.008581
2020-07-31,XLY,0.025568
2020-08-31,XLB,0.060213
2020-08-31,XLE,-0.301942
2020-08-31,XLF,-0.185811
2020-08-31,XLI,-0.104862
2020-08-31,XLK,0.167625
2020-08-31,XLP,0.005972
2020-08-31,XLU,-0.101796
2020-08-31,XLV,0.074099
2020-08-31,XLY,0.10101
2020-09-30,XLB,0.209462
2020-09-30,XLE,-0.184527
2020-09-30,XLF,-0.045167
2020-09-30,XLI,0.077842
2020-09-30,XLK,0.408494
2020-09-30,XLP,0.146198
2020-09-30,XLU,-0.029308
2020-09-30,XLV,0.181807
2020-09-30,XLY,0.3051
2020-10-31,XLB,0.427214
2020-10-31,XLE,0.061135
2020-10-31,XLF,0.168094
2020-10-31,XLI,0.316044
2020-10-31,XLK,0.458246
2020-10-31,XLP,0.193069
2020-10-31,XLU,0.08941
2020-10-31,XLV,0.200771
2020-10-31,XLY,0.505137
2020-11-30,XLB,0.230135
2020-11-30,XLE,-0.222296
2020-11-30,XLF,0.059687
2020-11-30,XLI,0.191533
2020-11-30,XLK,0.220055
2020-11-30,XLP,0.083518
2020-11-30,XLU,0.107518
2020-11-30,XLV,0.02771
2020-11-30,XLY,0.231545
2020-12-31,XLB,0.294596
2020-12-31,XLE,-0.02356
2020-12-31,XLF,0.205238
2020-12-31,XLI,0.311791
2020-12-31,XLK,0.266752
2020-12-31,XLP,0.145289
2020-12-31,XLU,0.070508
2020-12-31,XLV,0.073757
